takenAt,storeTemperature,storeHumidity,tempFridge,tempIceMaker,meterKWH,doorIceMaker
00:00:00,25.333,54.4,-0.444,-5.056,12.8,0
00:01:00,25.333,52.4,1.222,-4.222,12.8,0
00:02:00,25.333,51.5,2.167,-3.889,10,0
00:03:00,25.333,51.5,2.444,-3.333,10,0
00:04:00,25.333,53.4,2.722,-4.5,10,0
00:05:00,25.333,55.5,3,-6.167,10,0
00:06:00,25.333,52.5,3.278,-7,10,0
00:07:00,25.333,52.5,3.278,-5.5,8.4,0
00:08:00,25.333,53.5,3.556,-4.833,8.4,0
00:09:00,25.333,53.5,3.556,-4,8.4,0
00:10:00,25.333,50.5,3.556,-3.722,8.4,1
00:11:00,25.333,50.5,3.833,-3.444,8.4,1
00:12:00,25.333,54,3.833,-5.556,8.4,1
00:13:00,25.333,52.6,3.833,-6.778,8.4,1
00:14:00,25.611,55.6,3.833,-5.889,8.4,1
00:15:00,25.611,54.7,2.556,-4.778,8.4,1
00:16:00,25.611,56.1,0.333,-4.222,8.4,1
00:17:00,25.611,58.6,-1.111,-3.667,9.9,1
00:18:00,25.611,56.9,-0.111,-3.389,9.9,1
00:19:00,25.611,56.9,1.278,-5.667,9.9,1
00:20:00,25.889,56.9,2.111,-6.833,9.9,1
00:21:00,25.889,55.6,2.667,-6.556,9.9,1
00:22:00,25.889,54.8,2.944,-5.444,10.6,1
00:23:00,25.889,54.8,3.222,-4.556,10.6,1
00:24:00,25.889,55.4,3.222,-4,10.6,1
00:25:00,25.889,57.1,3.5,-3.444,10.6,1
00:26:00,25.889,55.7,3.5,-4.722,10.6,1
00:27:00,25.889,59,3.778,-6.389,10.6,1
00:28:00,25.889,56.5,3.778,-6.389,10.6,1
